Index,Date time,Duration,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flag,Forwarding status,ToS,Packets,Bytes,Label
5299,2016-07-27 18:04:44,0.656,185.27.39.165,42.219.159.82,27457,53,TCP,.A..SF,0,8,4,216,background
5399,2016-07-27 18:09:14,10.208,42.219.158.156,168.38.13.10,443,50635,TCP,.AP.SF,0,0,8,1345,background
5499,2016-07-27 18:14:07,2.912,42.219.159.90,154.226.196.122,61807,445,TCP,....S.,0,0,2,96,background
5599,2016-07-27 18:19:01,0.08,187.110.11.139,42.219.159.85,80,26440,TCP,.A..SF,0,0,2,112,background
5699,2016-07-27 18:23:50,0.868,42.219.159.82,67.207.110.194,21,36596,TCP,.AP.SF,0,0,8,458,background
5799,2016-07-27 18:28:45,10.34,201.6.54.71,42.219.158.156,50709,443,TCP,.AP.SF,0,72,8,1645,background
5899,2016-07-27 18:33:33,2.712,50.247.224.31,42.219.159.193,47126,23,TCP,....S.,0,40,2,120,background
5999,2016-07-27 18:38:30,0.0,42.219.158.226,67.207.12.38,80,54981,TCP,.A...F,0,0,1,40,background
6099,2016-07-27 18:43:22,18.988,150.153.65.146,42.219.159.95,443,41758,TCP,.AP.SF,0,8,6,430,background
6199,2016-07-27 18:48:12,0.032,36.67.32.206,42.219.154.128,60012,60097,TCP,.A...F,0,0,3,120,background
6299,2016-07-27 18:52:46,3.032,42.219.159.90,162.204.68.252,24065,445,TCP,....S.,0,0,2,96,background
6399,2016-07-27 18:57:37,4.224,74.217.237.150,42.219.158.156,51137,443,TCP,.AP.SF,0,72,46,4509,background
6499,2016-07-27 19:02:36,0.0,42.219.153.7,36.41.0.75,53,15903,UDP,.A....,0,0,1,219,background
6599,2016-07-27 19:07:28,3.544,42.219.158.156,168.38.13.14,443,51965,TCP,.AP.SF,0,0,45,45973,background
6699,2016-07-27 19:12:30,2.352,36.103.83.140,42.219.154.100,35207,25,TCP,.AP.S.,0,0,13,4325,background
6799,2016-07-27 19:17:36,0.0,89.206.220.7,42.219.154.168,46099,53,UDP,.A....,0,72,1,72,background
6899,2016-07-27 19:22:27,3.008,42.219.156.211,214.43.16.161,443,50232,TCP,.AP.SF,0,0,6,1411,background
6999,2016-07-27 19:27:35,0.136,42.219.159.68,43.164.44.6,33313,80,TCP,.AP...,0,0,2,938,background
7099,2016-07-27 19:32:41,7.116,42.219.156.211,213.94.18.81,80,35868,TCP,.AP.SF,0,0,5,1203,background
7199,2016-07-27 19:37:33,2.884,42.219.159.90,55.33.184.251,4783,445,TCP,....S.,0,0,2,96,background
7299,2016-07-27 19:42:31,24.776,64.107.226.30,42.219.153.128,57379,80,TCP,.AP.SF,0,0,11,1336,background
7399,2016-07-27 19:47:41,0.096,216.51.254.10,42.219.154.100,52040,80,TCP,.APRSF,0,0,6,769,background
7499,2016-07-27 19:52:43,0.0,127.205.43.87,42.219.153.7,49863,53,UDP,.A....,0,72,1,77,background
7599,2016-07-27 19:57:38,0.836,42.219.153.64,176.42.64.2,80,58438,TCP,.AP.SF,0,0,80,58263,background
7699,2016-07-27 20:02:41,3.036,42.219.159.90,64.61.109.8,12134,445,TCP,....S.,0,0,2,96,background
7799,2016-07-27 20:07:46,0.0,42.219.153.62,210.46.43.130,53,2099,UDP,.A....,0,0,1,76,background
7899,2016-07-27 20:13:00,5.268,42.219.159.69,62.209.205.247,55202,80,TCP,.AP.SF,0,0,23,1360,background
7999,2016-07-27 20:18:18,0.0,42.219.152.249,85.194.85.61,53,62960,UDP,.A....,0,0,1,82,background
8099,2016-07-27 20:23:35,2.008,213.12.123.157,42.219.158.226,49810,80,TCP,.APRSF,0,40,35,2282,background
8199,2016-07-27 20:28:55,22.944,42.219.153.38,60.242.232.66,80,27935,TCP,.AP.SF,0,0,7,1021,background
8299,2016-07-27 20:34:04,0.0,245.198.43.119,42.219.149.255,53081,53413,UDP,.A....,0,0,2,197,background
8399,2016-07-27 20:39:15,0.0,143.72.8.137,42.219.159.85,53,28413,UDP,.A....,0,0,1,329,background
8499,2016-07-27 20:44:31,0.0,42.219.154.104,143.72.4.250,41937,53,UDP,.A....,0,0,1,71,background
8599,2016-07-27 20:50:03,1.424,42.219.156.211,211.49.18.72,443,62887,TCP,.AP.SF,0,0,12,6803,background
8699,2016-07-27 20:55:27,0.0,42.219.147.178,143.72.8.137,14823,53,UDP,.A....,0,0,1,83,background
8799,2016-07-27 21:01:04,6.336,42.219.156.211,214.43.220.11,443,37126,TCP,.AP.SF,0,0,12,5748,background
8899,2016-07-27 21:06:51,4.892,42.219.158.156,50.154.214.165,443,55039,TCP,.AP.SF,0,0,20,14562,background
8999,2016-07-27 21:12:32,0.192,42.219.155.103,211.63.89.103,110,62546,TCP,.A..SF,0,0,4,172,background
9099,2016-07-27 21:18:19,20.552,42.219.153.164,216.38.11.183,80,54282,TCP,.AP.SF,0,0,7,2841,background
9199,2016-07-27 21:23:58,300.456,69.122.31.6,42.219.159.82,60608,8000,TCP,.AP...,0,72,31,2604,background
9299,2016-07-27 21:29:38,0.0,143.72.4.250,42.219.154.182,53,56253,UDP,.A....,0,0,1,80,background
9399,2016-07-27 21:35:05,0.0,242.101.129.180,42.219.155.223,48199,23,TCP,....S.,0,72,1,40,background
9499,2016-07-27 21:40:38,0.0,42.152.0.150,42.219.153.7,25194,53,UDP,.A....,0,0,1,75,background
9599,2016-07-27 21:46:25,1.292,42.219.153.128,106.150.228.133,80,20600,TCP,.A..SF,0,0,3,128,background
9699,2016-07-27 21:52:07,0.0,76.167.178.151,42.219.156.243,50936,22011,TCP,.AP...,0,0,1,54,background
9799,2016-07-27 21:57:23,0.0,42.219.159.82,201.174.205.72,8000,45319,TCP,.A....,0,0,1,52,background
9899,2016-07-27 22:02:35,6.244,223.80.216.241,42.219.158.180,42688,80,TCP,.AP.SF,0,0,6,1330,background
9999,2016-07-27 22:08:00,0.0,143.72.8.137,42.219.158.161,53,42798,UDP,.A....,0,0,1,130,background
10099,2016-07-27 22:13:23,0.524,168.40.43.152,42.219.156.211,52957,80,TCP,.AP.SF,0,0,5,614,background
10199,2016-07-27 22:18:57,8.976,183.84.152.248,42.219.153.187,50019,23,TCP,....S.,0,72,3,180,background
10299,2016-07-27 22:24:50,0.0,143.72.4.250,42.219.159.92,53,62915,UDP,.A....,0,0,1,424,background
10399,2016-07-27 22:30:55,0.0,143.72.4.250,42.219.154.189,53,51312,UDP,.A....,0,0,1,80,background
10499,2016-07-27 22:36:52,22.156,201.169.218.163,42.219.156.211,46525,80,TCP,.AP.SF,0,0,6,706,background
10599,2016-07-27 22:42:55,0.0,67.136.232.153,42.219.153.62,35545,53,UDP,.A....,0,40,1,78,background
10699,2016-07-27 22:49:04,0.0,42.219.154.114,91.71.126.218,80,37716,TCP,.AP...,0,2,6,7815,background
10799,2016-07-27 22:55:34,0.0,165.1.203.24,42.219.155.103,56005,22,TCP,.AP...,0,24,1,116,background
10899,2016-07-27 23:01:55,120.004,216.51.248.168,42.219.159.82,52886,8000,TCP,.AP...,0,0,3,252,background
10999,2016-07-27 23:07:45,0.008,42.219.159.85,187.39.60.51,48811,443,TCP,.APR..,0,0,2,141,background
11099,2016-07-27 23:13:49,31.34,42.219.156.243,216.40.151.233,22011,54610,TCP,.AP...,0,0,4,224,background
11199,2016-07-27 23:19:44,0.0,42.219.158.161,143.72.8.137,50043,53,UDP,.A....,0,0,1,83,background
11299,2016-07-27 23:25:38,0.268,201.112.153.221,42.219.156.211,64644,443,TCP,.AP.SF,0,0,9,1134,background
11399,2016-07-27 23:31:33,0.0,214.45.15.129,42.219.156.211,56837,443,TCP,....S.,0,2,1,60,background
11499,2016-07-27 23:37:38,0.384,220.170.174.48,42.219.156.211,50287,443,TCP,.APRSF,0,72,10,1258,background
11599,2016-07-27 23:43:50,0.0,106.150.20.65,42.219.155.59,40001,3280,UDP,.A....,0,0,1,49,background
11699,2016-07-27 23:50:00,9.04,42.219.159.90,84.213.254.21,38923,9100,TCP,....S.,0,0,3,152,background
11799,2016-07-27 23:56:19,0.0,42.219.158.161,143.72.8.137,44164,53,UDP,.A....,0,0,1,57,background
11899,2016-07-28 00:02:02,5.472,211.42.108.227,42.219.156.211,40350,80,TCP,.AP.S.,0,0,7,1192,background
11999,2016-07-28 00:08:00,0.32,42.219.156.211,216.33.99.58,443,54691,TCP,.APRSF,0,0,12,6784,background
12099,2016-07-28 00:12:22,0.096,42.219.153.112,42.185.186.219,80,56070,TCP,.AP.SF,0,0,4,1409,background
12199,2016-07-28 00:18:08,0.06,42.219.155.56,169.107.164.195,80,65149,TCP,.AP.SF,0,0,11,10781,background
12299,2016-07-28 00:23:11,0.0,187.41.42.171,42.219.159.92,80,63254,TCP,.A..S.,0,0,1,60,background
12399,2016-07-28 00:28:22,0.0,192.237.96.84,42.219.159.90,445,25576,TCP,.A.R..,0,40,1,40,background
12499,2016-07-28 00:34:07,0.252,42.219.154.100,211.36.121.66,80,51688,TCP,.AP.SF,0,0,5,680,background
12599,2016-07-28 00:40:35,2.944,42.219.159.90,108.245.155.83,59476,445,TCP,....S.,0,0,2,96,background
12699,2016-07-28 00:46:49,0.0,143.72.8.137,42.219.154.101,53,60694,UDP,.A....,0,0,1,90,background
12799,2016-07-28 00:51:53,4.704,42.219.156.239,194.233.72.83,443,37377,TCP,.AP.SF,0,0,8,4568,background
12899,2016-07-28 00:57:53,0.608,213.33.154.209,42.219.159.85,54635,26758,UDP,.A....,0,72,5,901,background
12999,2016-07-28 01:04:16,0.0,42.219.153.62,51.172.28.213,53,38343,UDP,.A....,0,0,1,155,background
13099,2016-07-28 01:10:51,0.0,62.152.48.49,42.219.156.229,54939,25,TCP,...R..,0,72,1,40,background
13199,2016-07-28 01:17:15,0.428,216.55.185.120,42.219.156.211,3133,443,TCP,.AP.SF,0,0,10,1372,background
13299,2016-07-28 01:23:15,0.0,33.12.111.238,42.219.156.164,5090,5060,UDP,.A....,0,0,1,441,background
13399,2016-07-28 01:29:42,0.0,217.187.62.242,42.219.159.82,55492,8000,TCP,.AP...,0,72,1,84,background
13499,2016-07-28 01:36:39,0.0,42.219.158.161,143.72.8.137,36161,53,UDP,.A....,0,0,1,72,background
13599,2016-07-28 01:43:43,2.04,42.219.155.28,74.158.233.81,443,35034,TCP,.APRSF,0,0,9,3292,background
13699,2016-07-28 01:50:33,0.328,67.210.196.139,42.219.156.211,61204,443,TCP,.AP.SF,0,0,9,1315,background
13799,2016-07-28 01:57:27,300.044,42.219.153.27,209.60.221.173,50578,63892,UDP,.A....,0,0,50,5780,background
13899,2016-07-28 02:04:38,0.0,75.179.204.237,42.219.153.62,14417,53,UDP,.A....,0,72,1,60,background
13999,2016-07-28 02:11:52,0.348,209.203.81.245,42.219.156.211,55255,80,TCP,.AP.SF,0,0,5,589,background
14099,2016-07-28 02:18:29,4.0,82.167.246.225,42.219.150.193,36926,80,TCP,....S.,0,72,1,40,background
14199,2016-07-28 02:25:00,2.88,42.219.158.156,50.154.214.165,443,53881,TCP,.AP.SF,0,0,12,8008,background
14299,2016-07-28 02:31:49,1.016,187.122.214.171,42.219.154.105,43564,80,TCP,.AP.SF,0,72,5,547,background
14399,2016-07-28 02:38:38,0.0,141.191.62.106,78.160.191.13,54329,443,TCP,.A.R..,0,0,1,40,background
14499,2016-07-28 02:45:46,0.292,42.219.156.211,62.100.38.173,80,43626,TCP,.AP.SF,0,0,4,1405,background
14599,2016-07-28 02:52:51,0.34,42.219.156.211,176.42.82.236,80,29184,TCP,.AP.SF,0,0,4,922,background
14699,2016-07-28 03:00:04,4.484,216.37.24.6,42.219.156.211,57192,443,TCP,.AP.S.,0,0,9,1189,background
14799,2016-07-28 03:06:28,0.0,42.219.154.128,143.72.8.137,35639,53,UDP,.A....,0,0,1,77,background
14899,2016-07-28 03:12:40,2.924,158.177.55.132,42.219.149.64,2024,445,TCP,....S.,0,72,2,96,background
14999,2016-07-28 03:19:06,2.66,78.160.191.13,42.219.159.85,80,27505,TCP,.A...F,0,40,2,104,background
15099,2016-07-28 03:25:38,6.18,42.219.158.156,66.26.233.236,443,63297,TCP,.AP.SF,0,0,7,429,background
15199,2016-07-28 03:32:17,0.0,143.72.4.250,42.219.154.167,53,54024,UDP,.A....,0,0,1,92,background
15299,2016-07-28 03:39:04,4.26,42.219.156.211,168.41.231.226,80,50240,TCP,.AP.SF,0,0,4,1381,background
15399,2016-07-28 03:45:38,0.18,222.205.210.228,42.219.158.226,50291,80,TCP,.AP.SF,0,40,21,1279,background
15499,2016-07-28 03:52:03,4.372,42.219.156.211,201.175.248.59,80,43954,TCP,.AP.SF,0,0,4,990,background
15599,2016-07-28 03:58:29,2.216,194.179.144.35,42.219.156.228,60529,3389,TCP,.APRS.,0,0,9,1567,background
15699,2016-07-28 04:04:53,2.62,42.219.153.244,60.242.232.66,80,18212,TCP,.AP...,0,0,4,4306,background
15799,2016-07-28 04:11:41,4.352,42.219.158.175,64.243.143.132,443,61360,TCP,.AP.SF,0,0,9,1467,background
15899,2016-07-28 04:18:21,1.236,42.219.155.28,70.210.179.193,443,6292,TCP,.APRSF,0,0,10,3344,background
15999,2016-07-28 04:25:08,4.548,42.219.156.211,211.47.151.170,443,56655,TCP,.AP.SF,0,0,11,5767,background
16099,2016-07-28 04:31:55,1.784,133.18.60.180,42.219.159.82,54788,10021,TCP,.AP.SF,0,64,10,446,background
16199,2016-07-28 04:38:36,0.0,42.219.159.92,165.164.50.100,63079,80,TCP,.AP...,0,2,2,724,background
16299,2016-07-28 04:45:44,0.0,143.72.8.137,42.219.158.160,53,56627,UDP,.A....,0,0,1,188,background
16399,2016-07-28 04:52:46,2.912,42.219.159.95,235.206.219.119,57117,445,TCP,....S.,0,0,2,96,background
16499,2016-07-28 04:59:50,2.984,42.219.159.90,198.230.225.30,46439,445,TCP,....S.,0,0,2,96,background
16599,2016-07-28 05:06:31,0.0,228.240.16.81,42.219.152.80,53693,53413,UDP,.A....,0,0,1,46,background
16699,2016-07-28 05:13:31,0.0,42.219.153.7,136.150.249.202,53,28715,UDP,.A....,0,0,1,216,background
16799,2016-07-28 05:20:31,0.0,105.2.130.240,42.219.159.85,123,37903,UDP,.A....,0,0,1,76,background
16899,2016-07-28 05:27:25,3.032,42.219.159.95,172.248.183.183,21709,445,TCP,....S.,0,0,2,96,background
16999,2016-07-28 05:34:13,0.0,42.219.157.58,62.100.51.133,39072,10003,TCP,.A....,0,0,1,41,background
17099,2016-07-28 05:41:25,2.9,42.219.159.95,195.73.147.217,40250,445,TCP,....S.,0,0,2,96,background
17199,2016-07-28 05:48:22,3.064,42.219.159.95,212.31.178.244,35640,445,TCP,....S.,0,0,2,96,background
17299,2016-07-28 05:55:32,0.0,42.219.159.106,204.97.73.57,53,61507,UDP,.A....,0,0,1,85,background
17399,2016-07-28 06:02:32,0.0,143.72.8.137,42.219.154.101,53,45220,UDP,.A....,0,0,1,125,background
17499,2016-07-28 06:09:46,12.128,50.38.151.227,42.219.155.28,55694,443,TCP,.AP.SF,0,72,8,2109,background
17599,2016-07-28 06:16:57,0.0,51.191.17.11,42.219.155.26,2020,54613,TCP,.A.R..,0,0,1,40,background
17699,2016-07-28 06:24:01,0.0,42.219.154.100,143.72.8.137,39068,53,UDP,.A....,0,0,1,101,background
17799,2016-07-28 06:30:31,0.044,36.50.44.138,42.219.155.118,50117,21,TCP,.AP.SF,0,0,6,332,background
17899,2016-07-28 06:37:34,0.764,219.206.228.92,42.219.156.211,60711,443,TCP,.AP.SF,0,72,12,1472,background
17999,2016-07-28 06:44:32,0.188,201.161.42.158,42.219.156.211,62134,80,TCP,.AP.SF,0,0,6,697,background
18099,2016-07-28 06:51:32,0.268,42.219.156.211,209.135.163.140,80,57700,TCP,.AP.SF,0,0,4,871,background
18199,2016-07-28 06:58:13,1.28,70.210.180.214,42.219.155.28,31682,443,TCP,.APRSF,0,0,14,2737,background
18299,2016-07-28 07:05:01,0.388,193.216.40.148,42.219.157.18,45083,80,TCP,.AP.SF,0,72,5,669,background
18399,2016-07-28 07:11:31,5.584,76.163.142.16,42.219.156.211,60861,443,TCP,.AP.S.,0,0,10,1691,background
18499,2016-07-28 07:17:54,2.9,42.219.159.90,58.208.2.171,10871,445,TCP,....S.,0,0,2,96,background
18599,2016-07-28 07:24:15,2.664,42.219.157.23,99.176.70.215,80,34401,TCP,.AP.SF,0,0,24,30361,background
18699,2016-07-28 07:30:44,0.0,42.219.156.211,216.51.214.188,80,63017,TCP,...R..,0,0,1,40,background
18799,2016-07-28 07:36:59,0.624,223.11.86.151,42.219.156.211,2003,80,TCP,.AP.SF,0,0,5,645,background
18899,2016-07-28 07:43:25,0.24,165.129.22.35,42.219.156.211,45978,80,TCP,.AP.SF,0,0,6,690,background
18999,2016-07-28 07:49:54,2.928,223.95.204.235,42.219.148.222,4225,445,TCP,....S.,0,72,2,96,background
19099,2016-07-28 07:56:48,0.34,42.219.156.211,62.100.104.90,80,58561,TCP,.AP.SF,0,0,4,1037,background
19199,2016-07-28 08:03:20,0.0,197.38.211.113,42.219.153.27,35425,33446,UDP,.A....,0,72,1,44,background
19299,2016-07-28 08:09:11,0.332,133.54.159.249,42.219.153.128,36209,80,TCP,.AP.SF,0,40,14,998,background
19399,2016-07-28 08:15:44,0.152,187.43.171.183,42.219.159.92,80,49710,TCP,.AP.S.,0,72,4,1742,background
19499,2016-07-28 08:22:10,0.204,42.219.156.211,211.42.178.14,80,45198,TCP,.AP.SF,0,0,4,1017,background
19599,2016-07-28 08:28:52,0.0,133.54.163.207,42.219.153.7,37650,53,UDP,.A....,0,40,1,78,background
19699,2016-07-28 08:35:02,0.0,42.219.154.157,143.72.4.250,55408,53,UDP,.A....,0,0,1,57,background
19799,2016-07-28 08:41:17,0.0,42.219.153.62,193.27.6.203,53,27847,UDP,.A....,0,0,1,208,background
19899,2016-07-28 08:47:23,7.0,65.127.105.110,42.219.148.84,34943,23,TCP,....S.,0,40,4,240,background
19999,2016-07-28 08:53:16,0.3,42.219.156.211,216.37.55.11,443,61337,TCP,.APRSF,0,0,12,6790,background
20099,2016-07-28 08:59:06,3.0,65.113.78.4,42.219.144.88,53967,23,TCP,....S.,0,72,2,112,background
20199,2016-07-28 09:04:31,0.392,165.11.179.45,42.219.156.211,64604,80,TCP,.AP.SF,0,0,5,659,background
20299,2016-07-28 09:09:56,299.988,208.66.242.99,42.219.159.197,0,0,ICMP,.A....,0,0,31,992,background
20399,2016-07-28 09:15:08,0.0,42.219.159.90,113.101.113.123,28140,445,TCP,.A....,0,0,1,41,background
20499,2016-07-28 09:20:11,0.0,42.219.153.89,221.167.84.93,52131,80,TCP,.A...F,0,0,2,80,background
20599,2016-07-28 09:25:12,0.0,201.112.140.0,42.219.156.211,61480,80,TCP,.A...F,0,0,1,52,background
20699,2016-07-28 09:30:13,0.0,42.219.153.7,32.70.195.80,53,44832,UDP,.A....,0,0,1,134,background
20799,2016-07-28 09:35:14,6.968,131.136.35.147,42.219.156.211,52309,80,TCP,.AP.SF,0,0,6,704,background
20899,2016-07-28 09:40:08,2.86,42.219.159.90,151.212.228.216,22392,445,TCP,....S.,0,0,2,96,background
20999,2016-07-28 09:45:12,0.06,42.39.199.207,42.219.155.56,43023,80,TCP,.AP.SF,0,0,5,1005,background
21099,2016-07-28 09:50:11,7.296,209.48.113.23,42.219.158.178,50291,80,TCP,.APRS.,0,0,11,1367,background
21199,2016-07-28 09:55:08,1.916,209.52.189.134,42.219.155.56,63133,80,TCP,.AP.SF,0,0,5,855,background
21299,2016-07-28 10:00:18,0.0,42.219.158.178,192.144.98.117,80,63493,TCP,...R..,0,72,1,40,background
21399,2016-07-28 10:04:58,0.0,42.219.154.105,143.72.8.137,49528,53,UDP,.A....,0,0,1,62,background
21499,2016-07-28 10:09:40,0.0,75.129.109.157,42.219.155.43,49796,3128,TCP,....S.,0,4,1,40,background
21599,2016-07-28 10:14:23,0.188,42.219.156.211,218.147.249.98,80,54975,TCP,.AP.SF,0,0,5,950,background
21699,2016-07-28 10:19:18,4.512,42.219.158.235,60.242.232.72,80,5076,TCP,.AP.SF,0,0,11,9583,background
21799,2016-07-28 10:24:16,0.0,185.51.234.125,42.219.153.62,38423,53,UDP,.A....,0,72,1,73,background
21899,2016-07-28 10:29:09,0.428,42.219.158.226,176.42.133.181,80,38819,TCP,.AP.SF,0,0,14,15900,background
21999,2016-07-28 10:34:06,0.456,133.132.7.206,42.219.155.102,61915,110,TCP,.AP.SF,0,0,8,382,background
22099,2016-07-28 10:39:05,2.512,42.219.158.156,208.106.167.140,443,50280,TCP,.AP.SF,0,0,9,986,background
22199,2016-07-28 10:44:15,2.984,42.219.159.90,250.203.251.27,3464,445,TCP,....S.,0,0,2,96,background
22299,2016-07-28 10:49:15,2.088,211.53.178.19,42.219.158.178,56174,80,TCP,.AP.SF,0,0,23,1306,background
22399,2016-07-28 10:54:10,4.336,42.219.156.211,219.206.87.110,80,53532,TCP,.AP.SF,0,0,5,1055,background
22499,2016-07-28 10:59:11,0.0,56.228.69.74,42.219.148.56,14898,5269,TCP,....S.,0,0,1,40,background
22599,2016-07-28 11:03:57,7.06,216.124.105.245,42.219.156.211,55307,443,TCP,.APRS.,0,0,18,3725,background
22699,2016-07-28 11:08:42,0.0,212.23.9.29,42.219.145.70,17991,1900,UDP,.A....,0,72,1,118,background
22799,2016-07-28 11:13:32,0.232,42.219.156.211,176.165.192.33,80,55288,TCP,.AP.SF,0,0,5,937,background
